stage;type;error;table;datetime
ingestion;KeyError;'results';films;2023-10-28 23:02:15.329668
ingestion;KeyError;'results';films;2023-10-28 23:02:23.264429
ingestion;KeyError;'results';films;2023-10-28 23:02:31.187915
ingestion;KeyError;'results';films;2023-10-28 23:02:38.111186
ingestion;KeyError;'results';films;2023-10-28 23:02:45.257920
ingestion;KeyError;'results';planets;2023-10-28 23:02:50.125734
ingestion;KeyError;'results';films;2023-10-28 23:02:51.684470
ingestion;KeyError;'results';planets;2023-10-28 23:02:56.728917
ingestion;KeyError;'results';films;2023-10-28 23:02:58.141686
ingestion;KeyError;'results';planets;2023-10-28 23:03:01.454404
ingestion;KeyError;'results';films;2023-10-28 23:03:02.828851
